category,parameterName,value,unit,status,collectionMethod,interpretation,algorithmApplicability
"Quantitativo","numRoomsTarget","media 27.1 (min 20, max 32)","contagem","Medido","Contagem de simbolos terminais da gramatica materializados como salas.","Indica quantos simbolos terminais da gramatica viraram salas no grid.","A gramatica controla quantidade por regras de caminho principal, ramificacoes e terminais; a interpretacao espacial pode descartar simbolos se nao houver espaco."
"Quantitativo","connectivityRatio","media 97.159 (min 87.5, max 100)","%","Medido","Busca sobre as conexoes derivadas pelas regras sequenciais, de ramificacao, loop e verticalidade.","Mostra se a derivacao sequencial e suas ramificacoes permaneceram conectadas.","A sequencia derivada tende a ser conectada porque cada simbolo nasce de um simbolo anterior; falhas indicam limitacao de embedding espacial."
"Quantitativo","verticalVariance","media 1.975 (min 1.901, max 2)","metros","Medido","Desvio padrao das alturas dos nos/salas entre pavimentos.","Valor acima de 0 indica que regras verticais geraram pavimentos conectados.","Verticalidade e suportada quando a gramatica inclui regras entre pavimentos."
"Quantitativo","fillPercentage","media 43.337 (min 33.24, max 51.587)","%","Medido","Celulas ocupadas por salas e corredores divididas pelo total do grid.","Resumo de 30 execucoes.","A densidade depende do numero de simbolos terminais, tamanhos das salas e comprimento dos corredores."
"Quantitativo","branchFactor","media 1.978 (min 1.75, max 2.16)","media","Medido","Media de conexoes entre simbolos terminais derivados.","Valores maiores indicam mais derivacoes laterais, atalhos e variacao de fluxo.","Ramificacao e controlada por regras laterais e por regras de loop."
"Quantitativo","avgPathLength","media 207.859 (min 118.091, max 356.148)","metros","Medido","Distancias calculadas sobre a estrutura terminal gerada pela gramatica.","Resumo de 30 execucoes.","Caminhos sao consequencia da ordem de derivacao, nao de busca posterior ou reparo."
"Quantitativo","uniqueModules","media 42.833 (min 39, max 45)","contagem","Medido","Contagem de simbolos, regras logicas e prefabs usados pela montagem visual.","Resumo de 30 execucoes.","A variedade vem dos simbolos de entrada, sala, ramificacao, tesouro, armadilha, arena, saida e dos assets configurados."
"Quantitativo","navigableVolumeRatio","media 100 (min 100, max 100)","%","Estimado sem NavMesh","Estimativa logica de celulas navegaveis antes de NavMesh.","Resumo de 30 execucoes.","A navegabilidade e estimada no grid logico; validacao fisica final ainda exige NavMesh."
"Quantitativo","criticalPathLength","media 409.533 (min 260, max 630)","metros","Medido","Maior distancia encontrada a partir do simbolo inicial materializado.","Aproxima o percurso entre o simbolo inicial e o terminal mais distante.","A gramatica pode controlar um caminho principal longo por regras sequenciais."
"Quantitativo","avgAlternativePathLength","media 20.456 (min 0, max 45)","metros","Medido","Media das regras de loop/atalho materializadas.","Resumo de 30 execucoes.","Loops sao suportados apenas quando a gramatica inclui regras de retorno/atalho."
"Booleano","SupportsRandomEnemySpawns","Sim em 30/30 execucoes","sim/nao","Suportado","Verifica se o sistema de spawn usa salas/celulas geradas por simbolos terminais.","Frequencia observada no lote de teste.","Spawns usam salas/celulas derivadas; balanceamento de combate ainda e camada de gameplay."
"Booleano","SupportsLootDistribution","Sim em 30/30 execucoes","sim/nao","Suportado","Verifica se loot pode ser distribuido sobre salas/celulas derivadas.","Frequencia observada no lote de teste.","Loot pode usar simbolos Treasure ou salas derivadas, mas progressao economica exige regra complementar."
"Booleano","SupportsTraps","Sim em 30/30 execucoes","sim/nao","Suportado","Verifica se armadilhas podem ser marcadas em areas navegaveis.","Frequencia observada no lote de teste.","Armadilhas podem usar simbolos Trap ou gargalos, mas pacing de desafio exige camada semantica."
"Booleano","SupportsBacktrackingLoops","Sim em 15/30 execucoes","sim/nao","Medido","Conta execucoes em que regras de loop produziram ciclos navegaveis.","Frequencia observada no lote de teste.","Suporte nativo quando a gramatica inclui producoes de loop; nao precisa misturar outro algoritmo."
"Booleano","SupportsVerticalConnectors","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes com regras verticais materializadas entre pavimentos.","Parametro atendido quando regras verticais da propria gramatica foram materializadas.","Implementado por regras verticais da propria gramatica, sem BSP, Room Graph, WFC ou outro metodo."
"Booleano","SupportsMultiFloor","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes com mais de um pavimento conectado por regras verticais.","Parametro atendido quando a gramatica derivou pavimentos conectados.","Implementado por simbolos em pavimentos diferentes e producoes verticais entre eles."
"Booleano","SupportsBossArena","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes com regra de arena ou sala ampla acima da area minima configurada.","Frequencia observada no lote de teste.","Suportado por uma regra terminal especifica de BossArena, com tamanho configuravel."
"Booleano","SeedReproducible","Sim","sim/nao","Medido","Gera a mesma seed duas vezes e compara o hash topologico.","Parametro atendido.","O Grammar-Based Generation e deterministico quando todas as escolhas usam a mesma seed."
"Booleano","RuntimeRegeneration","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes abaixo do limite de tempo configurado.","Frequencia observada no lote de teste.","O custo cresce com quantidade de simbolos, tentativas de embedding e numero de pavimentos."
"Booleano","BudgetAwareSpawns","Sim em 30/30 execucoes","sim/nao","Suportado","Verifica se os orcamentos de inimigos, loot e armadilhas cabem nas celulas livres.","Frequencia observada no lote de teste.","Orcamentos sao aplicados apos a derivacao, sobre celulas livres."
"Qualitativo","Replayability","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Estimativa baseada na diversidade de hashes topologicos entre seeds.","Diversidade topologica do lote: 100%.","A variacao entre seeds depende da escolha das producoes e da interpretacao espacial."
"Qualitativo","Debuggability","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Estimativa baseada na clareza das regras de producao e dos simbolos materializados.","A derivacao por regras facilita explicar por que cada sala existe.","A gramatica e facil de documentar porque cada resultado pode ser explicado por uma sequencia de regras."
"Qualitativo","Flow","media 4/5 (min 3, max 5)","Likert 1-5","Estimado automaticamente","Estimativa baseada em conectividade, caminho critico e ramificacao.","Diversidade topologica do lote: 100%.","O controle de fluxo e uma vantagem forte, pois caminho principal, ramificacoes e loops sao regras explicitas."
"Qualitativo","Legibility","media 4.033/5 (min 3, max 5)","Likert 1-5","Estimado automaticamente","Estimativa baseada em conectividade, densidade e legibilidade da derivacao espacial.","Diversidade topologica do lote: 100%.","A legibilidade depende da interpretacao espacial: regras claras podem gerar mapas confusos se o embedding ficar apertado."
"Qualitativo","StructuralVariety","media 4.5/5 (min 4, max 5)","Likert 1-5","Estimado automaticamente","Estimativa baseada em quantidade de salas, modulos e loops.","Diversidade topologica do lote: 100%.","A variedade estrutural depende do repertorio de producoes; aumentar a gramatica aumenta expressividade."
"Performance","layoutGenerationMilliseconds","media 0.784 (min 0.473, max 2.67)","ms","Medido","Tempo para expandir regras, interpretar simbolos no grid e conectar derivacoes.","Representa o custo da expansao e interpretacao da gramatica.","Mede custo de expandir regras, posicionar simbolos e abrir corredores; compare separado da instanciacao Unity."
"Performance","geometryInstantiationMilliseconds","media 60.177 (min 41.359, max 87.386)","ms","Medido","Tempo gasto instanciando prefabs/objetos visuais quando habilitado.","Resumo de 30 execucoes.","Custo visual depende dos prefabs/Unity, nao do Grammar-Based Generation puro."
"Performance","metricsCalculationMilliseconds","media 1.926 (min 1.313, max 3.509)","ms","Medido","Tempo para calcular e consolidar metricas apos a geracao.","Resumo de 30 execucoes.","Custo da instrumentacao, nao do algoritmo."
"Performance","totalGenerationMilliseconds","media 62.891 (min 43.152, max 90.83)","ms","Medido","Tempo total medido da execucao.","Resumo de 30 execucoes.","Inclui layout, instanciacao visual e metricas; use junto com o tempo logico."
"Performance","generatedGameObjectCount","media 4798.1 (min 3667, max 5694)","contagem","Medido","Quantidade de GameObjects criados durante a montagem visual.","Resumo de 30 execucoes.","Reflete peso da montagem visual da cena derivada."
"Performance","occupiedCellCount","media 3550.2 (min 2723, max 4226)","contagem","Medido","Quantidade de celulas ocupadas no grid logico.","Resumo de 30 execucoes.","Proxy de escala espacial resultante dos simbolos e corredores materializados."
"Performance","connectionCount","media 26.767 (min 21, max 31)","contagem","Medido","Quantidade de conexoes criadas por regras sequenciais, laterais, loops e verticalidade.","Reflete a complexidade topologica resultante das regras de producao.","Metrica natural para a gramatica, pois corresponde ao numero de relacoes materializadas entre simbolos."
"Performance","managedMemoryDeltaKB","media 2951.467 (min 484, max 4132)","KB","Estimado","Variacao aproximada de memoria gerenciada durante a execucao.","Resumo de 30 execucoes.","Estimativa sujeita ao GC da Unity; use como indicio comparativo."
