runIndex,seed,topologyHash,category,parameterName,value,unit,status,collectionMethod,interpretation,algorithmApplicability
1,2000,"27C29434","Quantitativo","numRoomsTarget","2","contagem","Medido","Extracao de componentes abertos e densos apos a escavacao dos caminhantes.","Tamanho estrutural da dungeon nesta execucao.","Drunkard Walk nao cria salas planejadas; regioes amplas aparecem quando o passeio se auto-intersecta ou recebe stamps locais."
1,2000,"27C29434","Quantitativo","connectivityRatio","100%","%","Medido","Busca no grafo extraido de componentes escavados; nenhuma conexao artificial e criada.","Mostra se as regioes escavadas permaneceram conectadas sem flood-fill reparador, BSP, grafo-guia ou abertura posterior de tuneis.","Com caminhantes reiniciando apenas em celulas ja escavadas, a tendencia e conectividade alta; se falhar, e limitacao da extracao ou da variante multiandar."
1,2000,"27C29434","Quantitativo","verticalVariance","2","metros","Medido","Desvio padrao das alturas dos componentes extraidos do volume escavado.","Ha variacao vertical mensuravel entre salas.","Verticalidade so aparece quando a opcao multiandar permite passos verticais do proprio caminhante."
1,2000,"27C29434","Quantitativo","fillPercentage","30.03%","%","Medido","Celulas escavadas pelos caminhantes divididas pelo total do volume.","Indica densidade espacial da dungeon.","Densidade e controlada por meta de preenchimento, passos maximos, raio do pincel e stamps de sala."
1,2000,"27C29434","Quantitativo","branchFactor","1","media","Medido","Media de conexoes entre componentes extraidos por passagens estreitas geradas pelo passeio.","Layout mais linear, com poucas bifurcacoes.","Ramificacao emerge de reinicios em celulas ja escavadas e mudancas de direcao, nao de um grafo explicito."
1,2000,"27C29434","Quantitativo","avgPathLength","8","metros","Medido","Distancias no grafo extraido do resultado do passeio aleatorio.","Distancia media a partir da sala inicial.","Caminhos sao medidos depois da extracao; o passeio nao escolhe objetivo final semanticamente."
1,2000,"27C29434","Quantitativo","uniqueModules","21","contagem","Medido","Contagem de categorias logicas e prefabs usados na leitura/instanciacao do resultado.","Indica variedade basica de composicao.","O algoritmo varia forma do caminho; variedade modular depende da biblioteca e da camada de instanciacao."
1,2000,"27C29434","Quantitativo","navigableVolumeRatio","100%","%","Estimado sem NavMesh","Estimativa logica de celulas abertas antes de NavMesh.","Use como estimativa inicial, nao como validacao fisica final.","Proxy logico; deve ser confirmado com NavMesh/colisao em uma validacao fisica."
1,2000,"27C29434","Quantitativo","criticalPathLength","8","metros","Medido","Maior distancia no grafo extraido a partir do componente inicial.","Aproxima o percurso principal inicio-objetivo.","Pode gerar caminho longo por caminhada sinuosa, mas nao controla pacing ou progressao de missao sozinho."
1,2000,"27C29434","Quantitativo","avgAlternativePathLength","0","metros","Medido","Media de conexoes marcadas como ciclos emergentes entre componentes.","Nao houve caminho alternativo nesta execucao.","Loops podem emergir por auto-interseccao do passeio, mas nao sao garantidos por planejamento global."
