category,parameterName,value,unit,status,collectionMethod,interpretation,algorithmApplicability
"Quantitativo","numRoomsTarget","media 3.3 (min 2, max 5)","contagem","Medido","Extracao de componentes abertos e densos apos a escavacao dos caminhantes.","Resumo de 30 execucoes.","Drunkard Walk nao cria salas planejadas; regioes amplas aparecem quando o passeio se auto-intersecta ou recebe stamps locais."
"Quantitativo","connectivityRatio","media 87.833 (min 60, max 100)","%","Medido","Busca no grafo extraido de componentes escavados; nenhuma conexao artificial e criada.","Mostra se as regioes escavadas permaneceram conectadas sem flood-fill reparador, BSP, grafo-guia ou abertura posterior de tuneis.","Com caminhantes reiniciando apenas em celulas ja escavadas, a tendencia e conectividade alta; se falhar, e limitacao da extracao ou da variante multiandar."
"Quantitativo","verticalVariance","media 1.857 (min 1.6, max 2)","metros","Medido","Desvio padrao das alturas dos componentes extraidos do volume escavado.","Resumo de 30 execucoes.","Verticalidade so aparece quando a opcao multiandar permite passos verticais do proprio caminhante."
"Quantitativo","fillPercentage","media 30.045 (min 30.029, max 30.127)","%","Medido","Celulas escavadas pelos caminhantes divididas pelo total do volume.","Resumo de 30 execucoes.","Densidade e controlada por meta de preenchimento, passos maximos, raio do pincel e stamps de sala."
"Quantitativo","branchFactor","media 1.082 (min 0.8, max 1.333)","media","Medido","Media de conexoes entre componentes extraidos por passagens estreitas geradas pelo passeio.","Resumo de 30 execucoes.","Ramificacao emerge de reinicios em celulas ja escavadas e mudancas de direcao, nao de um grafo explicito."
"Quantitativo","avgPathLength","media 29.712 (min 8, max 51.572)","metros","Medido","Distancias no grafo extraido do resultado do passeio aleatorio.","Resumo de 30 execucoes.","Caminhos sao medidos depois da extracao; o passeio nao escolhe objetivo final semanticamente."
"Quantitativo","uniqueModules","media 19.433 (min 16, max 24)","contagem","Medido","Contagem de categorias logicas e prefabs usados na leitura/instanciacao do resultado.","Resumo de 30 execucoes.","O algoritmo varia forma do caminho; variedade modular depende da biblioteca e da camada de instanciacao."
"Quantitativo","navigableVolumeRatio","media 100 (min 100, max 100)","%","Estimado sem NavMesh","Estimativa logica de celulas abertas antes de NavMesh.","Resumo de 30 execucoes.","Proxy logico; deve ser confirmado com NavMesh/colisao em uma validacao fisica."
"Quantitativo","criticalPathLength","media 41.859 (min 8, max 71.941)","metros","Medido","Maior distancia no grafo extraido a partir do componente inicial.","Resumo de 30 execucoes.","Pode gerar caminho longo por caminhada sinuosa, mas nao controla pacing ou progressao de missao sozinho."
"Quantitativo","avgAlternativePathLength","media 0 (min 0, max 0)","metros","Medido","Media de conexoes marcadas como ciclos emergentes entre componentes.","Resumo de 30 execucoes.","Loops podem emergir por auto-interseccao do passeio, mas nao sao garantidos por planejamento global."
"Booleano","SupportsRandomEnemySpawns","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Frequencia observada no lote de teste.","Spawns usam regioes escavadas; balanceamento nao e propriedade nativa do Drunkard Walk."
"Booleano","SupportsLootDistribution","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Frequencia observada no lote de teste.","Loot pode ser colocado nas regioes escavadas, mas progressao por risco depende de outra camada."
"Booleano","SupportsTraps","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Frequencia observada no lote de teste.","Armadilhas podem usar celulas escavadas/gargalos, mas sem semantica global nativa."
"Booleano","SupportsBacktrackingLoops","Sim em 0/30 execucoes","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Parametro atendido somente quando as conexoes emergentes formam ciclos no grafo extraido.","Loops podem aparecer por auto-interseccao, mas nao ha garantia de ciclo jogavel em toda seed."
"Booleano","SupportsVerticalConnectors","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes em que o passeio vertical escavou celulas alinhadas entre pavimentos.","Parametro atendido apenas se o proprio caminhante puder subir/descer e produzir alinhamentos entre pavimentos.","Possivel apenas na extensao multiandar em que o proprio caminhante faz passos verticais."
"Booleano","SupportsMultiFloor","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes com mais de um pavimento e pelo menos uma conexao vertical inferida do proprio passeio.","Parametro atendido quando existe conexao vertical inferida do passeio multiandar.","Drunkard Walk 2D puro nao e multiandar; o passeio 3D continua puro, mas deve ser relatado como extensao volumetrica."
"Booleano","SupportsBossArena","Sim em 30/30 execucoes","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Frequencia observada no lote de teste.","Areas grandes podem surgir por stamps ou sobreposicao de passos, mas nao sao arenas semanticamente planejadas."
"Booleano","SeedReproducible","Sim","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Parametro atendido.","Resultado reproduzivel quando o passeio usa a mesma seed."
"Booleano","RuntimeRegeneration","Sim em 30/30 execucoes","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Frequencia observada no lote de teste.","Custo cresce com tamanho do grid, quantidade de passos, caminhantes e raio de escavacao."
"Booleano","BudgetAwareSpawns","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Frequencia observada no lote de teste.","Orcamento e aplicado apos a geracao, sobre celulas livres extraidas."
"Qualitativo","Replayability","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Diversidade topologica do lote: 100%.","Alta variacao de percurso entre seeds e esperada."
"Qualitativo","Debuggability","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Drunkard Walk e reproduzivel e simples de depurar, pois o caminho do caminhante explica diretamente a area escavada.","O caminho do caminhante e facil de repetir e inspecionar, mas metricas ajudam a quantificar sinuosidade e loops."
"Qualitativo","Flow","media 3.633/5 (min 2, max 5)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Diversidade topologica do lote: 100%.","Fluxo tende a ser continuo, mas pode ficar sinuoso demais ou pouco ramificado."
"Qualitativo","Legibility","media 4.633/5 (min 4, max 5)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","A legibilidade depende do equilibrio entre corredor escavado, areas abertas e excesso de sinuosidade.","Corredores escavados podem ser claros, mas excesso de curvas reduz orientacao."
"Qualitativo","StructuralVariety","media 2/5 (min 2, max 2)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Diversidade topologica do lote: 100%.","Boa variedade de trajetos; menor controle sobre categorias semanticas de sala."
"Performance","layoutGenerationMilliseconds","media 11.811 (min 8.613, max 42.137)","ms","Medido","Tempo para executar caminhantes, escavar celulas e extrair componentes.","Resumo de 30 execucoes.","Inclui passeio aleatorio, escavacao e extracao de componentes."
"Performance","geometryInstantiationMilliseconds","media 40.634 (min 34.319, max 71.546)","ms","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Resumo de 30 execucoes.","Custo visual depende dos prefabs/Unity, nao do Drunkard Walk puro."
"Performance","metricsCalculationMilliseconds","media 1.664 (min 1.183, max 6.418)","ms","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Resumo de 30 execucoes.","Custo da instrumentacao, nao do algoritmo."
"Performance","totalGenerationMilliseconds","media 54.111 (min 44.992, max 95.727)","ms","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Resumo de 30 execucoes.","Inclui layout, instanciacao visual e metricas; compare junto do tempo logico."
"Performance","generatedGameObjectCount","media 3206.733 (min 3064, max 3341)","contagem","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Resumo de 30 execucoes.","Reflete peso da montagem visual das celulas abertas."
"Performance","occupiedCellCount","media 2461.267 (min 2460, max 2468)","contagem","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Resumo de 30 execucoes.","Proxy do volume escavado pelo Drunkard Walk."
"Performance","connectionCount","media 1.733 (min 1, max 2)","contagem","Medido","Quantidade de conexoes inferidas por gargalos/passagens ou passos verticais.","Resumo de 30 execucoes.","Conexoes sao inferidas apos a geracao; o algoritmo nativo e um passeio, nao um grafo explicito."
"Performance","managedMemoryDeltaKB","media -554.667 (min -115944, max 7800)","KB","Estimado","Parametro medido sobre a saida do Drunkard Walk puro.","Resumo de 30 execucoes.","Estimativa sujeita ao GC da Unity; use como indicio comparativo."
