category,parameterName,value,unit,status,collectionMethod,interpretation,bspApplicability
"Quantitativo","numRoomsTarget","media 45.167 (min 39, max 48)","contagem","Medido","Media de salas geradas.","Resumo de 30 execucoes.","BSP controla esse valor por particionamento e pelo limite Max Rooms."
"Quantitativo","connectivityRatio","media 100 (min 100, max 100)","%","Medido","Media de salas conectadas ao componente principal.","Resumo de 30 execucoes.","BSP deve ficar proximo de 100% porque cada particao e conectada no retorno da arvore."
"Quantitativo","verticalVariance","media 1.996 (min 1.977, max 2)","metros","Medido","Variacao media de altura entre salas.","Resumo de 30 execucoes.","BSP puro pode medir verticalidade quando a variante multiandar esta ativa."
"Quantitativo","fillPercentage","media 44.528 (min 38, max 48.34)","%","Medido","Media de ocupacao do grid.","Resumo de 30 execucoes.","Mostra o quanto do espaco disponivel virou sala ou corredor."
"Quantitativo","branchFactor","media 2.133 (min 2.125, max 2.154)","media","Medido","Media de conexoes por sala.","Resumo de 30 execucoes.","Indica linearidade ou ramificacao da dungeon."
"Quantitativo","avgPathLength","media 201.565 (min 116.468, max 314.727)","metros","Medido","Media das distancias no grafo a partir do inicio.","Resumo de 30 execucoes.","Aproximacao por grafo logico; pode ser refinada com NavMesh."
"Quantitativo","uniqueModules","media 26.7 (min 25, max 27)","contagem","Medido","Media de tipos logicos/prefabs usados.","Resumo de 30 execucoes.","No BSP, a variedade estrutural vem de salas, corredores, conectores verticais e assets configurados."
"Quantitativo","navigableVolumeRatio","media 100 (min 100, max 100)","%","Estimado sem NavMesh","Media de celulas logicas navegaveis antes do NavMesh.","Resumo de 30 execucoes.","Para medicao fisica final, integrar com NavMeshSurface e amostragem de pontos."
"Quantitativo","criticalPathLength","media 385.4 (min 246, max 618)","metros","Medido","Media do maior caminho a partir do inicio.","Resumo de 30 execucoes.","Representa o percurso principal aproximado."
"Quantitativo","avgAlternativePathLength","media 32.817 (min 21, max 48)","metros","Medido","Media das conexoes extras criadas como loops.","Resumo de 30 execucoes.","Se Extra Loop Connections for 0, tende a ficar 0."
"Booleano","SupportsRandomEnemySpawns","Sim em 30/30 execucoes","sim/nao","Suportado","O gerador possui lista de inimigos e orcamento; configure Enemy Prefabs e Enemy Budget para validar visualmente.","Frequencia observada no lote de teste.","BSP aceita spawns por sala/celula sem depender do algoritmo estrutural."
"Booleano","SupportsLootDistribution","Sim em 30/30 execucoes","sim/nao","Suportado","O gerador possui lista de loot e orcamento; configure Loot Prefabs e Loot Budget para validar visualmente.","Frequencia observada no lote de teste.","BSP aceita distribuicao por sala/celula."
"Booleano","SupportsTraps","Sim em 30/30 execucoes","sim/nao","Suportado","O gerador possui lista de armadilhas e orcamento; configure Trap Prefabs e Trap Budget para validar visualmente.","Frequencia observada no lote de teste.","BSP aceita marcadores de armadilha em areas navegaveis."
"Booleano","SupportsBacktrackingLoops","Sim em 30/30 execucoes","sim/nao","Medido","Conta quantas execucoes geraram ciclos navegaveis.","Frequencia observada no lote de teste.","BSP suporta loops quando Extra Loop Connections cria arestas extras."
"Booleano","SupportsVerticalConnectors","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes em que o BSP gerou conexoes verticais entre pavimentos.","Frequencia observada no lote de teste.","Implementado como extensao BSP pura: salas de pavimentos adjacentes sao conectadas por escadas/rampas."
"Booleano","SupportsMultiFloor","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes em que o BSP gerou mais de um pavimento conectado.","Frequencia observada no lote de teste.","Implementado sem algoritmo auxiliar, usando BSP por pavimento e conectores verticais internos."
"Booleano","SupportsBossArena","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes com ao menos uma sala acima da area minima configurada.","Frequencia observada no lote de teste.","BSP pode gerar arenas se Max Room Size permitir salas grandes."
"Booleano","SeedReproducible","Sim","sim/nao","Medido","Verificado gerando a mesma seed duas vezes e comparando o hash topologico.","Parametro atendido.","BSP deterministico e adequado para testes reprodutiveis."
"Booleano","RuntimeRegeneration","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes abaixo do limite de tempo configurado.","Frequencia observada no lote de teste.","BSP tende a ser rapido; instanciacao visual pode custar mais que o layout logico."
"Booleano","BudgetAwareSpawns","Sim em 30/30 execucoes","sim/nao","Suportado","Verifica se o sistema respeita os orcamentos de inimigos, loot e armadilhas.","Frequencia observada no lote de teste.","O controle de orcamento e independente da estrutura BSP."
"Qualitativo","Replayability","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Baseado na diversidade de hashes topologicos entre seeds.","Diversidade topologica do lote: 100%.","BSP tem boa variacao quando os parametros permitem particoes diferentes."
"Qualitativo","Debuggability","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","BSP recebe pontuacao alta por ser deterministico e facil de rastrear.","Diversidade topologica do lote: 100%.","Arvore BSP facilita depuracao."
"Qualitativo","Flow","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Baseado em conectividade, caminho critico e fator de ramificacao.","Diversidade topologica do lote: 100%.","BSP tende a criar fluxo claro por salas e corredores."
"Qualitativo","Legibility","media 4.5/5 (min 4, max 5)","Likert 1-5","Estimado automaticamente","Baseado em conectividade, densidade e ramificacao.","Diversidade topologica do lote: 100%.","BSP geralmente produz mapas legiveis por ter salas retangulares."
"Qualitativo","StructuralVariety","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Baseado em quantidade de salas, modulos e loops.","Diversidade topologica do lote: 100%.","BSP oferece variedade moderada; WFC e grammar-based podem superar em variedade local."
"Performance","layoutGenerationMilliseconds","media 0.628 (min 0.514, max 0.878)","ms","Medido","Tempo medio para gerar apenas o layout logico do algoritmo.","Resumo de 30 execucoes.","Esta e a metrica mais justa para comparar o custo do BSP com outros algoritmos."
"Performance","geometryInstantiationMilliseconds","media 46.627 (min 39.349, max 65.123)","ms","Medido","Tempo medio gasto instanciando prefabs/objetos visuais, quando habilitado no teste.","Resumo de 30 execucoes.","Depende muito dos assets Unity; use separado do custo algoritmico."
"Performance","metricsCalculationMilliseconds","media 0.168 (min 0.146, max 0.264)","ms","Medido","Tempo medio para calcular e consolidar metricas apos a geracao.","Resumo de 30 execucoes.","Ajuda a separar custo do algoritmo e custo da instrumentacao."
"Performance","totalGenerationMilliseconds","media 47.426 (min 40.068, max 65.974)","ms","Medido","Tempo total medio da execucao medida.","Resumo de 30 execucoes.","Inclui layout, instanciacao visual habilitada e calculo de metricas."
"Performance","generatedGameObjectCount","media 5315.067 (min 4686, max 5700)","contagem","Medido","Quantidade media de GameObjects criados durante a execucao.","Resumo de 30 execucoes.","Quando o teste logico esta ativo, tende a 0; quando visual esta ativo, reflete o peso de instanciacao."
"Performance","occupiedCellCount","media 3647.733 (min 3113, max 3960)","contagem","Medido","Quantidade media de celulas ocupadas no grid logico.","Resumo de 30 execucoes.","Proxy direto do tamanho espacial processado pelo algoritmo."
"Performance","connectionCount","media 48.167 (min 42, max 51)","contagem","Medido","Quantidade media de conexoes no grafo da dungeon.","Resumo de 30 execucoes.","Proxy de complexidade topologica."
"Performance","managedMemoryDeltaKB","media 1635.467 (min 1252, max 1996)","KB","Estimado","Variacao media de memoria gerenciada durante a execucao.","Resumo de 30 execucoes.","Indicador aproximado; valores podem variar por coleta de lixo e comportamento interno da Unity."
