category,parameterName,value,unit,status,collectionMethod,interpretation,algorithmApplicability
"Quantitativo","numRoomsTarget","media 2.133 (min 1, max 6)","contagem","Medido","Extracao de componentes abertos e densos apos iteracoes de Cellular Automata.","Resumo de 30 execucoes.","Cellular Automata nao cria salas como entidades planejadas; regioes emergem de celulas abertas."
"Quantitativo","connectivityRatio","media 63 (min 16.667, max 100)","%","Medido","Busca no grafo extraido de componentes abertos; nenhuma conexao artificial e criada.","Mostra se as cavernas emergentes ficaram conectadas sem flood-fill reparador, carving ou grafo-guia.","CA puro nao garante conectividade global. Se a metrica ficar baixa, isso e uma limitacao real do algoritmo nesta configuracao."
"Quantitativo","verticalVariance","media 0 (min 0, max 0)","metros","Medido","Desvio padrao das alturas dos componentes extraidos do volume celular.","Resumo de 30 execucoes.","Verticalidade so aparece em uma variante celular 3D/multiandar; CA 2D simples nao possui altura."
"Quantitativo","fillPercentage","media 65.219 (min 59.692, max 70.801)","%","Medido","Celulas abertas apos a regra celular divididas pelo total do volume.","Resumo de 30 execucoes.","Densidade e controlada indiretamente por chance inicial e limites de nascimento/sobrevivencia."
"Quantitativo","branchFactor","media 0.03 (min 0, max 0.5)","media","Medido","Media de conexoes entre componentes extraidos por passagens estreitas detectadas.","Resumo de 30 execucoes.","Ramificacao emerge de gargalos naturais, nao de um grafo explicito."
"Quantitativo","avgPathLength","media 1.814 (min 0, max 54.406)","metros","Medido","Distancias no grafo extraido do resultado celular.","Resumo de 30 execucoes.","Caminhos sao medidos depois da extracao; CA nao controla caminho critico diretamente."
"Quantitativo","uniqueModules","media 16.1 (min 12, max 21)","contagem","Medido","Contagem de categorias logicas e prefabs usados na leitura/instanciacao do resultado.","Resumo de 30 execucoes.","CA tende a variar forma organica, mas nao aumenta variedade modular sozinho."
"Quantitativo","navigableVolumeRatio","media 100 (min 100, max 100)","%","Estimado sem NavMesh","Estimativa logica de celulas abertas antes de NavMesh.","Resumo de 30 execucoes.","Proxy logico; ilhas desconectadas podem inflar area aberta sem criar navegabilidade util."
"Quantitativo","criticalPathLength","media 1.814 (min 0, max 54.406)","metros","Medido","Maior distancia no grafo extraido a partir do componente inicial.","Resumo de 30 execucoes.","CA puro nao direciona progressao inicio-fim sem uma camada adicional."
"Quantitativo","avgAlternativePathLength","media 0 (min 0, max 0)","metros","Medido","Media de conexoes marcadas como ciclos emergentes entre componentes.","Resumo de 30 execucoes.","Loops podem emergir, mas nao sao garantidos."
"Booleano","SupportsRandomEnemySpawns","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida do Cellular Automata puro.","Frequencia observada no lote de teste.","Spawns usam regioes abertas extraidas; balanceamento nao e propriedade nativa do CA."
"Booleano","SupportsLootDistribution","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida do Cellular Automata puro.","Frequencia observada no lote de teste.","Loot pode ser colocado nas regioes abertas, mas progressao por risco depende de outra camada."
"Booleano","SupportsTraps","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida do Cellular Automata puro.","Frequencia observada no lote de teste.","Armadilhas podem usar celulas abertas/gargalos, mas sem semantica global nativa."
"Booleano","SupportsBacktrackingLoops","Sim em 0/30 execucoes","sim/nao","Medido","Parametro medido sobre a saida do Cellular Automata puro.","Parametro atendido somente quando as conexoes emergentes formam ciclos no grafo extraido.","CA pode formar ciclos emergentes, mas sem controle direto de loops."
"Booleano","SupportsVerticalConnectors","Sim em 0/30 execucoes","sim/nao","Medido","Conta execucoes com celulas abertas alinhadas entre pavimentos e convertidas em conector vertical inferido.","Parametro atendido apenas se o volume celular multiandar gerar alinhamentos abertos entre camadas.","Possivel apenas em uma leitura 3D/multiandar do CA, por alinhamento de celulas abertas entre camadas."
"Booleano","SupportsMultiFloor","Sim em 0/30 execucoes","sim/nao","Medido","Conta execucoes com mais de um pavimento e pelo menos uma conexao vertical inferida do volume celular.","Parametro atendido quando existe conexao vertical inferida do proprio volume celular.","CA 2D puro nao e multiandar; a variante 3D continua celular, mas precisa ser relatada como extensao volumetrica."
"Booleano","SupportsBossArena","Sim em 30/30 execucoes","sim/nao","Medido","Parametro medido sobre a saida do Cellular Automata puro.","Frequencia observada no lote de teste.","Areas grandes podem emergir naturalmente, mas nao como arena semanticamente planejada."
"Booleano","SeedReproducible","Sim","sim/nao","Medido","Parametro medido sobre a saida do Cellular Automata puro.","Parametro atendido.","Resultado reproduzivel se ruido inicial e iteracoes usam a mesma seed."
"Booleano","RuntimeRegeneration","Sim em 30/30 execucoes","sim/nao","Medido","Parametro medido sobre a saida do Cellular Automata puro.","Frequencia observada no lote de teste.","Custo cresce com tamanho do grid, pavimentos e iteracoes."
"Booleano","BudgetAwareSpawns","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida do Cellular Automata puro.","Frequencia observada no lote de teste.","Orcamento e aplicado apos a geracao, sobre celulas livres extraidas."
"Qualitativo","Replayability","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Cellular Automata puro.","Diversidade topologica do lote: 100%.","Alta variacao visual/organica entre seeds e esperada."
"Qualitativo","Debuggability","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Cellular Automata puro.","Cellular Automata e reproduzivel e simples de parametrizar, mas o efeito de pequenas mudancas nas regras precisa ser observado por bateladas.","Regras sao simples, mas efeitos globais emergentes exigem analise por metricas."
"Qualitativo","Flow","media 1.767/5 (min 1, max 3)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Cellular Automata puro.","Diversidade topologica do lote: 100%.","Fluxo global nao e garantido; depende de conectividade emergente."
"Qualitativo","Legibility","media 3.367/5 (min 3, max 4)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Cellular Automata puro.","A legibilidade depende do equilibrio entre areas abertas, gargalos e ilhas desconectadas.","Cavernas organicas podem ser bonitas, mas menos legiveis que salas retangulares."
"Qualitativo","StructuralVariety","media 2/5 (min 2, max 2)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Cellular Automata puro.","Diversidade topologica do lote: 100%.","Boa variedade morfologica; menor controle sobre semantica estrutural."
"Performance","layoutGenerationMilliseconds","media 15.966 (min 10.637, max 53.75)","ms","Medido","Tempo para inicializar ruido, executar iteracoes celulares e extrair componentes.","Resumo de 30 execucoes.","Inclui ruido inicial, iteracoes celulares e extracao de componentes."
