runIndex,seed,topologyHash,category,parameterName,value,unit,status,collectionMethod,interpretation,algorithmApplicability
1,2000,"8DD730AB","Quantitativo","numRoomsTarget","27","contagem","Medido","Contagem de simbolos terminais da gramatica materializados como salas.","Indica quantos simbolos terminais da gramatica viraram salas no grid.","A gramatica controla quantidade por regras de caminho principal, ramificacoes e terminais; a interpretacao espacial pode descartar simbolos se nao houver espaco."
1,2000,"8DD730AB","Quantitativo","connectivityRatio","96.3%","%","Medido","Busca sobre as conexoes derivadas pelas regras sequenciais, de ramificacao, loop e verticalidade.","Mostra se a derivacao sequencial e suas ramificacoes permaneceram conectadas.","A sequencia derivada tende a ser conectada porque cada simbolo nasce de um simbolo anterior; falhas indicam limitacao de embedding espacial."
1,2000,"8DD730AB","Quantitativo","verticalVariance","1.999","metros","Medido","Desvio padrao das alturas dos nos/salas entre pavimentos.","Valor acima de 0 indica que regras verticais geraram pavimentos conectados.","Verticalidade e suportada quando a gramatica inclui regras entre pavimentos."
1,2000,"8DD730AB","Quantitativo","fillPercentage","45.5%","%","Medido","Celulas ocupadas por salas e corredores divididas pelo total do grid.","Indica densidade espacial da dungeon.","A densidade depende do numero de simbolos terminais, tamanhos das salas e comprimento dos corredores."
1,2000,"8DD730AB","Quantitativo","branchFactor","1.926","media","Medido","Media de conexoes entre simbolos terminais derivados.","Valores maiores indicam mais derivacoes laterais, atalhos e variacao de fluxo.","Ramificacao e controlada por regras laterais e por regras de loop."
1,2000,"8DD730AB","Quantitativo","avgPathLength","215.36","metros","Medido","Distancias calculadas sobre a estrutura terminal gerada pela gramatica.","Distancia media a partir da sala inicial.","Caminhos sao consequencia da ordem de derivacao, nao de busca posterior ou reparo."
1,2000,"8DD730AB","Quantitativo","uniqueModules","42","contagem","Medido","Contagem de simbolos, regras logicas e prefabs usados pela montagem visual.","Indica variedade basica de composicao.","A variedade vem dos simbolos de entrada, sala, ramificacao, tesouro, armadilha, arena, saida e dos assets configurados."
1,2000,"8DD730AB","Quantitativo","navigableVolumeRatio","100%","%","Estimado sem NavMesh","Estimativa logica de celulas navegaveis antes de NavMesh.","Use como estimativa inicial, nao como validacao fisica final.","A navegabilidade e estimada no grid logico; validacao fisica final ainda exige NavMesh."
1,2000,"8DD730AB","Quantitativo","criticalPathLength","388","metros","Medido","Maior distancia encontrada a partir do simbolo inicial materializado.","Aproxima o percurso entre o simbolo inicial e o terminal mais distante.","A gramatica pode controlar um caminho principal longo por regras sequenciais."
1,2000,"8DD730AB","Quantitativo","avgAlternativePathLength","18","metros","Medido","Media das regras de loop/atalho materializadas.","Ha caminhos alternativos mensuraveis.","Loops sao suportados apenas quando a gramatica inclui regras de retorno/atalho."
1,2000,"8DD730AB","Booleano","SupportsRandomEnemySpawns","Sim, testado","sim/nao","Suportado","Verifica se o sistema de spawn usa salas/celulas geradas por simbolos terminais.","Sistema configurado e com orcamento ativo.","Spawns usam salas/celulas derivadas; balanceamento de combate ainda e camada de gameplay."
