category,parameterName,value,unit,status,collectionMethod,interpretation,algorithmApplicability
"Quantitativo","numRoomsTarget","media 46.167 (min 42, max 48)","contagem","Medido","Contagem de nos/salas posicionados pelo Room Graph.","Indica quantos nos do grafo foram efetivamente posicionados como salas.","Room Graph controla salas como nos do grafo; a etapa de embedding pode gerar menos salas se nao houver espaco sem sobreposicao."
"Quantitativo","connectivityRatio","media 100 (min 100, max 100)","%","Medido","Busca no grafo de salas a partir da sala inicial.","Mostra se as salas ficaram conectadas no componente principal do grafo.","Room Graph e forte neste parametro: a arvore de conexoes garante componente principal conectado quando ha pelo menos duas salas."
"Quantitativo","verticalVariance","media 1.999 (min 1.986, max 2)","metros","Medido","Desvio padrao das alturas dos nos/salas entre pavimentos.","Valor acima de 0 indica variacao vertical gerada por pavimentos e arestas verticais.","Room Graph puro suporta verticalidade ao criar arestas verticais entre nos de pavimentos adjacentes."
"Quantitativo","fillPercentage","media 52.422 (min 48.694, max 55.933)","%","Medido","Celulas ocupadas por salas e corredores divididas pelo total do grid.","Resumo de 30 execucoes.","A densidade depende do numero de nos, tamanhos de sala e sucesso do posicionamento espacial do grafo."
"Quantitativo","branchFactor","media 2.043 (min 2.042, max 2.048)","media","Medido","Media de arestas por no/sala no grafo.","Valores maiores indicam mais bifurcacoes e loops no grafo.","O fator de ramificacao e diretamente controlado por arvore inicial e arestas extras de loop."
"Quantitativo","avgPathLength","media 134.036 (min 76.468, max 196.304)","metros","Medido","Distancias calculadas no grafo explicito de salas.","Resumo de 30 execucoes.","Caminhos sao naturais para Room Graph, pois o algoritmo ja trabalha com grafo explicito."
"Quantitativo","uniqueModules","media 26.233 (min 24, max 27)","contagem","Medido","Contagem de modulos logicos e prefabs usados pela montagem do Room Graph.","Resumo de 30 execucoes.","A variedade vem das categorias logicas do grafo, conectores, corredores e assets configurados."
"Quantitativo","navigableVolumeRatio","media 100 (min 100, max 100)","%","Estimado sem NavMesh","Estimativa logica de celulas navegaveis antes de NavMesh.","Resumo de 30 execucoes.","A navegabilidade e estimada no grid logico; validacao fisica final ainda exige NavMesh."
"Quantitativo","criticalPathLength","media 251.533 (min 142, max 360)","metros","Medido","Maior distancia encontrada no grafo a partir da sala inicial.","Aproxima o percurso principal entre inicio e ponto mais distante no grafo.","Room Graph mede bem percurso principal porque distancias no grafo sao parte central do modelo."
"Quantitativo","avgAlternativePathLength","media 32.567 (min 11, max 45)","metros","Medido","Media das arestas extras marcadas como loops.","Resumo de 30 execucoes.","Loops e atalhos sao uma vantagem direta do Room Graph, bastando adicionar arestas extras."
"Booleano","SupportsRandomEnemySpawns","Sim em 30/30 execucoes","sim/nao","Suportado","Verifica se o sistema de spawn usa salas/celulas geradas pelo grafo.","Frequencia observada no lote de teste.","Room Graph oferece salas/nos claros para spawns; balanceamento de combate e camada de gameplay."
"Booleano","SupportsLootDistribution","Sim em 30/30 execucoes","sim/nao","Suportado","Verifica se loot pode ser distribuido sobre salas/celulas do grafo.","Frequencia observada no lote de teste.","Loot pode ser distribuido por nos/salas ou por distancia no grafo."
"Booleano","SupportsTraps","Sim em 30/30 execucoes","sim/nao","Suportado","Verifica se armadilhas podem ser marcadas em areas navegaveis.","Frequencia observada no lote de teste.","Armadilhas podem ser colocadas em salas, corredores ou arestas especificas do grafo."
"Booleano","SupportsBacktrackingLoops","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes em que o grafo recebeu ciclos navegaveis.","Frequencia observada no lote de teste.","Suporte nativo quando o grafo recebe arestas extras alem da arvore de conectividade."
"Booleano","SupportsVerticalConnectors","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes com arestas verticais entre pavimentos.","Parametro atendido quando existem arestas verticais Room Graph entre pavimentos.","Implementado como arestas verticais do proprio Room Graph, sem usar BSP ou outro algoritmo auxiliar."
"Booleano","SupportsMultiFloor","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes com mais de um pavimento conectado por arestas verticais.","Parametro atendido quando ha pavimentos conectados dentro do mesmo grafo.","Implementado por nos distribuidos em pavimentos e arestas verticais entre camadas."
"Booleano","SupportsBossArena","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes com ao menos uma sala acima da area minima configurada.","Frequencia observada no lote de teste.","Suportado se algum no/sala for grande o suficiente; pode exigir parametros de tamanho ou uma regra de no especial."
"Booleano","SeedReproducible","Sim","sim/nao","Medido","Gera a mesma seed duas vezes e compara o hash topologico.","Parametro atendido.","O Room Graph e deterministico quando todas as escolhas usam a mesma seed."
"Booleano","RuntimeRegeneration","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes abaixo do limite de tempo configurado.","Frequencia observada no lote de teste.","Room Graph tende a ser rapido; a etapa mais sensivel e o posicionamento sem sobreposicao das salas."
"Booleano","BudgetAwareSpawns","Sim em 30/30 execucoes","sim/nao","Suportado","Verifica se os orcamentos de inimigos, loot e armadilhas cabem nas celulas livres.","Frequencia observada no lote de teste.","Orcamentos sao controlados por camada de spawn sobre os nos/salas gerados."
"Qualitativo","Replayability","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Estimativa baseada na diversidade de hashes topologicos entre seeds.","Diversidade topologica do lote: 100%.","A variacao entre seeds depende da combinacao entre grafo, embedding espacial e arestas extras."
"Qualitativo","Debuggability","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Estimativa baseada na natureza explicita do grafo de nos e arestas.","A estrutura de nos e arestas facilita inspecao, depuracao e reproducao por seed.","Room Graph e facil de depurar porque a topologia pode ser inspecionada como nos e arestas."
"Qualitativo","Flow","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Estimativa baseada em conectividade, caminho critico e ramificacao.","Diversidade topologica do lote: 100%.","O controle de fluxo e uma das maiores vantagens do Room Graph, pois caminhos e ramificacoes sao explicitos."
"Qualitativo","Legibility","media 4/5 (min 4, max 4)","Likert 1-5","Estimado automaticamente","Estimativa baseada em conectividade, densidade e ramificacao do grafo.","Diversidade topologica do lote: 100%.","A legibilidade depende do embedding: o grafo e claro, mas corredores podem cruzar se o layout espacial ficar apertado."
"Qualitativo","StructuralVariety","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Estimativa baseada em quantidade de salas, modulos e loops.","Diversidade topologica do lote: 100%.","A variedade estrutural e boa em macrofluxo; variedade local ainda depende de regras de decoracao/assets."
"Performance","layoutGenerationMilliseconds","media 1.54 (min 1.013, max 3.014)","ms","Medido","Tempo para criar, posicionar e conectar o Room Graph logico.","Representa o custo algoritmico principal do Room Graph.","Mede custo de criar nos, posiciona-los e conectar o grafo; compare separado da instanciacao Unity."
