category,parameterName,value,unit,status,collectionMethod,interpretation,algorithmApplicability
"Quantitativo","numRoomsTarget","media 42.967 (min 33, max 50)","contagem","Medido","Extracao de componentes de celulas de sala colapsadas pelo WFC.","Resumo de 30 execucoes.","WFC nao controla salas como entidade global; salas emergem de componentes de tiles."
"Quantitativo","connectivityRatio","media 3.35 (min 2.128, max 8)","%","Medido","Busca no grafo extraido dos componentes de sala e corredores do WFC, incluindo a espinha dorsal observada quando ativa.","Mostra se o WFC produziu uma dungeon conectada sem reparo global posterior.","WFC puro nao garante conectividade global por padrao; esta variante usa uma espinha dorsal observada como restricao inicial do proprio WFC, nao como reparo posterior."
"Quantitativo","verticalVariance","media 1.981 (min 1.915, max 2)","metros","Medido","Desvio padrao das alturas dos componentes de sala extraidos.","Resumo de 30 execucoes.","WFC pode representar verticalidade se o tileset tiver sockets verticais."
"Quantitativo","fillPercentage","media 96.654 (min 95.215, max 97.644)","%","Medido","Celulas ocupadas por modulos WFC divididas pelo total do volume.","Resumo de 30 execucoes.","Densidade e resultado de pesos e compatibilidades locais, nao de controle global direto."
"Quantitativo","branchFactor","media 0.26 (min 0.051, max 0.609)","media","Medido","Media de conexoes por componente de sala no grafo extraido.","Resumo de 30 execucoes.","Ramificacao emerge das conexoes locais; controlar grau medio diretamente exige tileset/pesos bem calibrados."
"Quantitativo","avgPathLength","media 8.156 (min 0, max 76)","metros","Medido","Distancias no grafo extraido do resultado WFC.","Resumo de 30 execucoes.","Caminhos sao medidos apos extrair um grafo do colapso; nao sao objetivo nativo do WFC."
"Quantitativo","uniqueModules","media 48.1 (min 44, max 49)","contagem","Medido","Contagem de modulos WFC e prefabs efetivamente usados.","Resumo de 30 execucoes.","WFC tende a ser forte em variedade local quando ha um tileset rico."
"Quantitativo","navigableVolumeRatio","media 100 (min 100, max 100)","%","Estimado sem NavMesh","Estimativa logica de celulas ocupadas antes de NavMesh.","Resumo de 30 execucoes.","Proxy logico; validacao final ainda depende de NavMesh e colisores."
"Quantitativo","criticalPathLength","media 10.333 (min 0, max 76)","metros","Medido","Maior distancia no grafo extraido a partir da sala inicial.","Resumo de 30 execucoes.","Caminho critico nao e controlado diretamente pelo WFC puro."
"Quantitativo","avgAlternativePathLength","media 15.744 (min 0, max 110)","metros","Medido","Media de conexoes extras inferidas em componentes de corredor com mais de duas salas.","Resumo de 30 execucoes.","Loops podem emergir, mas nao sao garantidos sem regras locais que favorecam ciclos."
"Booleano","SupportsRandomEnemySpawns","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida colapsada pelo WFC.","Frequencia observada no lote de teste.","Spawns usam celulas de sala extraidas; balanceamento e camada de gameplay."
"Booleano","SupportsLootDistribution","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida colapsada pelo WFC.","Frequencia observada no lote de teste.","Loot pode ser colocado sobre componentes de sala, mas progressao por risco nao e nativa do WFC."
"Booleano","SupportsTraps","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida colapsada pelo WFC.","Frequencia observada no lote de teste.","Armadilhas podem usar celulas/corredores resultantes; sem semantica global nativa."
"Booleano","SupportsBacktrackingLoops","Sim em 0/30 execucoes","sim/nao","Medido","Parametro medido sobre a saida colapsada pelo WFC.","Parametro atendido quando o resultado WFC contem ciclos inferidos no grafo extraido.","WFC pode criar loops emergentes; se a metrica vier baixa, isso e uma limitacao da configuracao pura testada."
"Booleano","SupportsVerticalConnectors","Sim em 2/30 execucoes","sim/nao","Medido","Conta execucoes com pares de modulos WFC stairs_up/stairs_down conectando pavimentos.","Parametro atendido somente quando os modulos verticais do WFC aparecem conectados a salas/corredores.","Suportado quando tiles verticais e observacoes iniciais fazem parte do proprio tileset WFC, sem BSP/Room Graph."
"Booleano","SupportsMultiFloor","Sim em 2/30 execucoes","sim/nao","Medido","Conta execucoes com mais de um pavimento e conexao vertical extraida do proprio colapso.","Parametro atendido quando ha pavimentos conectados por sockets verticais do proprio WFC.","Multiandar e possivel em WFC 3D com sockets verticais, mas nao e garantido em WFC 2D simples."
"Booleano","SupportsBossArena","Sim em 28/30 execucoes","sim/nao","Medido","Parametro medido sobre a saida colapsada pelo WFC.","Frequencia observada no lote de teste.","Arenas grandes nao sao naturais no WFC local; exigem tiles/padroes que favorecam areas amplas."
"Booleano","SeedReproducible","Sim","sim/nao","Medido","Parametro medido sobre a saida colapsada pelo WFC.","Parametro atendido.","O colapso e reproduzivel se todas as escolhas usam a mesma seed."
"Booleano","RuntimeRegeneration","Sim em 30/30 execucoes","sim/nao","Medido","Parametro medido sobre a saida colapsada pelo WFC.","Frequencia observada no lote de teste.","Custo depende do tamanho do volume, quantidade de modulos e numero de contradicoes/reinicios."
"Booleano","BudgetAwareSpawns","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida colapsada pelo WFC.","Frequencia observada no lote de teste.","Orcamento e aplicado depois sobre celulas livres extraidas; nao e propriedade nativa do WFC."
